time,contract,open,high,low,close,volume,delta
2011-03-03,201103,8660,8755,8630,8748,122389,0
2011-03-04,201103,8796,8800,8753,8758,83710,0
2011-03-07,201103,8743,8762,8677,8723,108307,0
2011-03-08,201103,8704,8758,8701,8740,77886,0
2011-03-09,201103,8793,8798,8698,8757,101336,0
2011-03-10,201103,8763,8763,8608,8622,140889,0
2011-03-11,201103,8550,8574,8480,8562,129493,0
2011-03-14,201103,8531,8568,8366,8500,171744,0
2011-03-15,201103,8531,8532,8026,8257,278523,0
2011-03-16,201103,8410,8411,8264,8306,95911,-19
2011-03-17,201104,8151,8274,8129,8255,148021,0
2011-03-18,201104,8292,8345,8270,8319,104784,0
2011-03-21,201104,8359,8445,8328,8390,110694,0
2011-03-22,201104,8431,8479,8414,8415,91070,0
2011-03-23,201104,8400,8510,8393,8448,116480,0
2011-03-24,201104,8502,8548,8480,8527,97198,0
2011-03-25,201104,8588,8626,8548,8579,98085,0
2011-03-28,201104,8585,8585,8495,8520,95747,0
2011-03-29,201104,8507,8575,8474,8575,99784,0
2011-03-30,201104,8607,8650,8582,8590,94916,0
2011-03-31,201104,8604,8645,8557,8642,110857,0
